index,price,yearCreation,is_numbered,condition_score,movement_clean
691,680,1987,0,2,Abstract
692,800,1978,1,2,Minimalism
693,1500,1978,0,2,Abstract
694,1275,1988,0,2,Surrealism
695,800,2011,0,2,Abstract
696,1275,2004,0,1,Abstract
697,680,1978,0,2,Abstract
698,800,1994,0,2,Abstract
699,800,2001,0,2,Surrealism
700,800,2002,0,2,Abstract
701,680,2012,0,2,Abstract
702,1275,1981,0,2,Abstract
703,1500,1989,0,2,Abstract
704,680,1986,0,1,Abstract
705,1500,1977,0,2,Expressionism
706,1500,2008,0,2,Abstract
707,800,1988,0,2,Abstract
708,800,1988,0,2,Conceptual 
709,1275,2008,0,2,Abstract
710,1500,1987,0,2,Abstract
711,800,2005,0,2,Abstract
712,680,1990,0,2,Abstract
713,1500,2008,0,2,Abstract
714,680,1987,0,2,Abstract
715,800,1987,0,2,Abstract
716,680,1980,0,2,Abstract
717,680,1982,1,1,Realism
718,1275,1976,0,1,Abstract
719,1275,1971,0,2,Geometric Abstraction
720,1275,1991,0,1,Geometric Abstraction
721,1275,1979,0,1,Realism
722,1275,2012,0,1,Abstract
723,680,1971,0,1,Geometric Abstraction
724,1275,1976,0,1,Geometric Abstraction
726,680,2001,0,1,Realism
727,1275,1990,0,1,Other
728,680,1990,1,1,Realism
729,680,1989,0,1,Other
730,680,1972,0,1,Realism
731,680,2010,0,1,Abstract
732,680,2008,1,1,Realism
733,1275,1986,0,1,Abstract
734,1275,1987,0,1,Abstract
735,1275,2012,0,1,Abstract
736,680,1983,0,1,Realism
737,1275,1985,0,1,Geometric Abstraction
738,1275,1964,0,1,Pop Art
739,680,2001,0,1,Realism
740,680,2007,0,1,Other
741,1275,2004,0,1,Abstract
742,680,2011,0,1,Geometric Abstraction
743,680,1985,0,1,Realism
744,1275,1973,0,1,Abstract
745,680,1989,0,3,Other
746,680,2008,0,1,Abstract
747,1275,1978,0,1,Geometric Abstraction
748,680,1968,0,1,Abstract
749,680,2012,0,1,Abstract
750,1275,1970,0,1,Geometric Abstraction
751,680,2012,0,3,Geometric Abstraction
752,1275,1986,0,1,Abstract
753,680,1975,1,1,Geometric Abstraction
